article_id,title,content,home_team,away_team,winner,date,has_ceremony
72,Purple Knights Defeats Yellow Hornets 4-1 in Exciting Match,"In a thrilling game on 2025-07-12, Purple Knights emerged victorious against Yellow Hornets with a score of 4-1. The Purple Knights team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Purple Knights in a strong position in the league standings, while Yellow Hornets will need to regroup before their next match.",Yellow Hornets,Purple Knights,Purple Knights,2025-07-12,False
73,Yellow Hornets Defeats Purple Knights 3-0 in Exciting Match,"In a thrilling game on 2025-05-19, Yellow Hornets emerged victorious against Purple Knights with a score of 3-0. The Yellow Hornets team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Yellow Hornets in a strong position in the league standings, while Purple Knights will need to regroup before their next match.",Yellow Hornets,Purple Knights,Yellow Hornets,2025-05-19,False
74,Purple Knights Defeats Green Giants 3-1 in Exciting Match,"In a thrilling game on 2025-05-18, Purple Knights emerged victorious against Green Giants with a score of 3-1. The Purple Knights team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. A memorable pre-game ceremony preceded the match. This victory puts Purple Knights in a strong position in the league standings, while Green Giants will need to regroup before their next match.",Green Giants,Purple Knights,Purple Knights,2025-05-18,True
75,Red Dragons Defeats Green Giants 4-0 in Exciting Match,"In a thrilling game on 2025-03-03, Red Dragons emerged victorious against Green Giants with a score of 4-0. The Red Dragons team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. The pre-game ceremony was a highlight of the evening. This victory puts Red Dragons in a strong position in the league standings, while Green Giants will need to regroup before their next match.",Red Dragons,Green Giants,Red Dragons,2025-03-03,True
76,Green Giants Defeats Red Dragons 2-1 in Exciting Match,"In a thrilling game on 2024-09-07, Green Giants emerged victorious against Red Dragons with a score of 2-1. The Green Giants team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Green Giants in a strong position in the league standings, while Red Dragons will need to regroup before their next match.",Red Dragons,Green Giants,Green Giants,2024-09-07,False
77,Yellow Hornets Defeats Purple Knights 2-0 in Exciting Match,"In a thrilling game on 2024-08-30, Yellow Hornets emerged victorious against Purple Knights with a score of 2-0. The Yellow Hornets team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. A memorable pre-game ceremony preceded the match. This victory puts Yellow Hornets in a strong position in the league standings, while Purple Knights will need to regroup before their next match.",Yellow Hornets,Purple Knights,Yellow Hornets,2024-08-30,True
78,Blue Lions Defeats Yellow Hornets 4-2 in Exciting Match,"In a thrilling game on 2025-01-29, Blue Lions emerged victorious against Yellow Hornets with a score of 4-2. The Blue Lions team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Blue Lions in a strong position in the league standings, while Yellow Hornets will need to regroup before their next match.",Yellow Hornets,Blue Lions,Blue Lions,2025-01-29,False
79,Red Dragons Defeats Green Giants 3-0 in Exciting Match,"In a thrilling game on 2025-05-09, Red Dragons emerged victorious against Green Giants with a score of 3-0. The Red Dragons team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. The pre-game ceremony was a highlight of the evening. This victory puts Red Dragons in a strong position in the league standings, while Green Giants will need to regroup before their next match.",Green Giants,Red Dragons,Red Dragons,2025-05-09,True
80,Blue Lions Defeats Purple Knights 5-2 in Exciting Match,"In a thrilling game on 2024-10-26, Blue Lions emerged victorious against Purple Knights with a score of 5-2. The Blue Lions team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Blue Lions in a strong position in the league standings, while Purple Knights will need to regroup before their next match.",Blue Lions,Purple Knights,Blue Lions,2024-10-26,False
81,Blue Lions Defeats Red Dragons 1-0 in Exciting Match,"In a thrilling game on 2025-06-26, Blue Lions emerged victorious against Red Dragons with a score of 1-0. The Blue Lions team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. A spectacular pre-game ceremony took place. This victory puts Blue Lions in a strong position in the league standings, while Red Dragons will need to regroup before their next match.",Blue Lions,Red Dragons,Blue Lions,2025-06-26,True
82,Yellow Hornets Defeats Purple Knights 4-2 in Exciting Match,"In a thrilling game on 2024-09-26, Yellow Hornets emerged victorious against Purple Knights with a score of 4-2. The Yellow Hornets team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Yellow Hornets in a strong position in the league standings, while Purple Knights will need to regroup before their next match.",Purple Knights,Yellow Hornets,Yellow Hornets,2024-09-26,False
83,Blue Lions Defeats Red Dragons 1-0 in Exciting Match,"In a thrilling game on 2025-06-13, Blue Lions emerged victorious against Red Dragons with a score of 1-0. The Blue Lions team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Blue Lions in a strong position in the league standings, while Red Dragons will need to regroup before their next match.",Blue Lions,Red Dragons,Blue Lions,2025-06-13,False
84,Yellow Hornets Defeats Red Dragons 1-0 in Exciting Match,"In a thrilling game on 2024-09-06, Yellow Hornets emerged victorious against Red Dragons with a score of 1-0. The Yellow Hornets team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. A spectacular pre-game ceremony took place. This victory puts Yellow Hornets in a strong position in the league standings, while Red Dragons will need to regroup before their next match.",Red Dragons,Yellow Hornets,Yellow Hornets,2024-09-06,True
85,Red Dragons Defeats Green Giants 2-1 in Exciting Match,"In a thrilling game on 2024-10-05, Red Dragons emerged victorious against Green Giants with a score of 2-1. The Red Dragons team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. A spectacular pre-game ceremony took place. This victory puts Red Dragons in a strong position in the league standings, while Green Giants will need to regroup before their next match.",Red Dragons,Green Giants,Red Dragons,2024-10-05,True
86,Green Giants Defeats Purple Knights 2-1 in Exciting Match,"In a thrilling game on 2025-07-20, Green Giants emerged victorious against Purple Knights with a score of 2-1. The Green Giants team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Green Giants in a strong position in the league standings, while Purple Knights will need to regroup before their next match.",Green Giants,Purple Knights,Green Giants,2025-07-20,False
87,Red Dragons Defeats Purple Knights 2-1 in Exciting Match,"In a thrilling game on 2025-03-11, Red Dragons emerged victorious against Purple Knights with a score of 2-1. The Red Dragons team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. Fans enjoyed an amazing pre-game ceremony. This victory puts Red Dragons in a strong position in the league standings, while Purple Knights will need to regroup before their next match.",Red Dragons,Purple Knights,Red Dragons,2025-03-11,True
88,Green Giants Defeats Purple Knights 3-1 in Exciting Match,"In a thrilling game on 2025-03-01, Green Giants emerged victorious against Purple Knights with a score of 3-1. The Green Giants team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. A spectacular pre-game ceremony took place. This victory puts Green Giants in a strong position in the league standings, while Purple Knights will need to regroup before their next match.",Green Giants,Purple Knights,Green Giants,2025-03-01,True
89,Yellow Hornets Defeats Purple Knights 5-3 in Exciting Match,"In a thrilling game on 2024-12-16, Yellow Hornets emerged victorious against Purple Knights with a score of 5-3. The Yellow Hornets team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Yellow Hornets in a strong position in the league standings, while Purple Knights will need to regroup before their next match.",Purple Knights,Yellow Hornets,Yellow Hornets,2024-12-16,False
90,Red Dragons Defeats Purple Knights 4-0 in Exciting Match,"In a thrilling game on 2025-07-24, Red Dragons emerged victorious against Purple Knights with a score of 4-0. The Red Dragons team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Red Dragons in a strong position in the league standings, while Purple Knights will need to regroup before their next match.",Red Dragons,Purple Knights,Red Dragons,2025-07-24,False
91,Blue Lions Defeats Purple Knights 4-0 in Exciting Match,"In a thrilling game on 2024-12-01, Blue Lions emerged victorious against Purple Knights with a score of 4-0. The Blue Lions team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Blue Lions in a strong position in the league standings, while Purple Knights will need to regroup before their next match.",Purple Knights,Blue Lions,Blue Lions,2024-12-01,False
92,Green Giants Defeats Yellow Hornets 4-1 in Exciting Match,"In a thrilling game on 2024-11-20, Green Giants emerged victorious against Yellow Hornets with a score of 4-1. The Green Giants team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Green Giants in a strong position in the league standings, while Yellow Hornets will need to regroup before their next match.",Green Giants,Yellow Hornets,Green Giants,2024-11-20,False
93,Yellow Hornets Defeats Green Giants 4-3 in Exciting Match,"In a thrilling game on 2025-05-14, Yellow Hornets emerged victorious against Green Giants with a score of 4-3. The Yellow Hornets team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Yellow Hornets in a strong position in the league standings, while Green Giants will need to regroup before their next match.",Green Giants,Yellow Hornets,Yellow Hornets,2025-05-14,False
94,Red Dragons Defeats Yellow Hornets 4-1 in Exciting Match,"In a thrilling game on 2024-09-26, Red Dragons emerged victorious against Yellow Hornets with a score of 4-1. The Red Dragons team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Red Dragons in a strong position in the league standings, while Yellow Hornets will need to regroup before their next match.",Yellow Hornets,Red Dragons,Red Dragons,2024-09-26,False
95,Blue Lions Defeats Yellow Hornets 2-0 in Exciting Match,"In a thrilling game on 2025-04-24, Blue Lions emerged victorious against Yellow Hornets with a score of 2-0. The Blue Lions team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Blue Lions in a strong position in the league standings, while Yellow Hornets will need to regroup before their next match.",Blue Lions,Yellow Hornets,Blue Lions,2025-04-24,False
96,Red Dragons Defeats Yellow Hornets 4-3 in Exciting Match,"In a thrilling game on 2025-07-14, Red Dragons emerged victorious against Yellow Hornets with a score of 4-3. The Red Dragons team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. A memorable pre-game ceremony preceded the match. This victory puts Red Dragons in a strong position in the league standings, while Yellow Hornets will need to regroup before their next match.",Red Dragons,Yellow Hornets,Red Dragons,2025-07-14,True
97,Blue Lions Defeats Green Giants 2-0 in Exciting Match,"In a thrilling game on 2025-07-14, Blue Lions emerged victorious against Green Giants with a score of 2-0. The Blue Lions team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. The pre-game ceremony was a highlight of the evening. This victory puts Blue Lions in a strong position in the league standings, while Green Giants will need to regroup before their next match.",Green Giants,Blue Lions,Blue Lions,2025-07-14,True
98,Green Giants Defeats Purple Knights 4-3 in Exciting Match,"In a thrilling game on 2025-02-17, Green Giants emerged victorious against Purple Knights with a score of 4-3. The Green Giants team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Green Giants in a strong position in the league standings, while Purple Knights will need to regroup before their next match.",Purple Knights,Green Giants,Green Giants,2025-02-17,False
99,Yellow Hornets Defeats Green Giants 2-1 in Exciting Match,"In a thrilling game on 2025-03-06, Yellow Hornets emerged victorious against Green Giants with a score of 2-1. The Yellow Hornets team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Yellow Hornets in a strong position in the league standings, while Green Giants will need to regroup before their next match.",Yellow Hornets,Green Giants,Yellow Hornets,2025-03-06,False
100,Blue Lions Defeats Red Dragons 3-2 in Exciting Match,"In a thrilling game on 2025-03-18, Blue Lions emerged victorious against Red Dragons with a score of 3-2. The Blue Lions team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Blue Lions in a strong position in the league standings, while Red Dragons will need to regroup before their next match.",Blue Lions,Red Dragons,Blue Lions,2025-03-18,False
